Basic,Basic,Basic,Basic,InitInfoFun,InitInfoFun,InitInfoFun,InitInfoFun,UartPortFun,UartComFun,UartComFun,UartComFun,UartComFun,UartComFun,InitInfoFun,CutOutFun,InitInfoFun,JudgeFun,JudgeFun,JudgeFun,JudgeFun,SleepFun,CanFun,CanFun,CanFun,CanFun,CanFun,CanFun,CanFun,CanFun
DC,FUEL Gage readings,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,max charging value to 80%,InitInfoFun,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,max charging value to 80%,CutOutFun,TRUE,,,,,,,,,,,*multimeter:201,main:channel_close,s,,,,,,,,,,,,,
DC,max charging value to 80%,SleepFun,TRUE,,,,,,,,,,,,,,,,,,500,,,,,,,,
DC,max charging value to 80%,CutOutFun,TRUE,,,,,,,,,,,*battery:8.3:1.0,main:power_on,s,,,,,,,,,,,,,
DC,max charging value to 80%,SleepFun,TRUE,,,,,,,,,,,,,,,,,,5000,,,,,,,,
DC,max charging value to 80%,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:set_max_charging,s,,,,,,,,,,,,,
DC,max charging value to 80%,JudgeFun,TRUE,,,,,,,,,,,s,,,STRING,OK,OK,,,,,,,,,,
DC,max charging value to 80%,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,Charging Functionality-OVER,InitInfoFun,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,Charging Functionality-OVER,CutOutFun,TRUE,,,,,,,,,,,*battery,main:power_off,s,,,,,,,,,,,,,
DC,Charging Functionality-OVER,SleepFun,TRUE,FALSE,,,,,,,,,,,,,,,,,2000,,,,,,,,
DC,Charging Functionality-OVER,CutOutFun,TRUE,,,,,,,,,,,*battery:9:3,main:power_on,s,,,,,,,,,,,,,
DC,Charging Functionality-OVER,SleepFun,TRUE,,,,,,,,,,,,,,,,,,5000,,,,,,,,
DC,Charging Functionality-OVER,CutOutFun,TRUE,,,,,,,,,,,*battery,main:measure_current,s,,,,,,,,,,,,,
DC,Charging Functionality-OVER,JudgeFun,TRUE,,,,,,,,,,,s,,,NUMBER,0.2,0.05,A,,,,,,,,,
DC,Charging Functionality-OVER,SleepFun,TRUE,,,,,,,,,,,,,,,,,,500,,,,,,,,
DC,Charging Functionality-LOW,InitInfoFun,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,Charging Functionality-LOW,CutOutFun,TRUE,,,,,,,,,,,*battery,main:power_off,s,,,,,,,,,,,,,
DC,Charging Functionality-LOW,SleepFun,TRUE,FALSE,,,,,,,,,,,,,,,,,2000,,,,,,,,
DC,Charging Functionality-LOW,CutOutFun,TRUE,,,,,,,,,,,*battery:6:3,main:power_on,s,,,,,,,,,,,,,
DC,Charging Functionality-LOW,CutOutFun,TRUE,,,,,,,,,,,*battery,main:measure_current,s,,,,,,,,,,,,,
DC,Charging Functionality-LOW,JudgeFun,TRUE,,,,,,,,,,,s,,,NUMBER,-0.45,-1.0,A,,,,,,,,,
DC,Charging Functionality-LOW,SleepFun,TRUE,,,,,,,,,,,,,,,,,,500,,,,,,,,
DC,power on ACTION,InitInfoFun,TRUE,TRUE,,,,,,Lock,,,,s,,,NUMBER,0.2,0.05,A,500,,,,,,,,
DC,power on ACTION,CutOutFun,TRUE,,,,,,,,,,,*battery,main:power_off,s,,,,,,,,,,,,,
DC,power on ACTION,SleepFun,TRUE,,,,,,,,,,,,,,,,,,2000,,,,,,,,
DC,power on ACTION,CutOutFun,TRUE,,,,,,,,,,,*multimeter:201,main:channel_open,s,,,,,,,,,,,,,
DC,power on ACTION,UartComFun,TRUE,FALSE,,,,9600,CtrolBoard,INWARD,,5,OK,,,,,,,,,,,,,,,,
DC,power on ACTION,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,power on ACTION,CutOutFun,TRUE,,,,,,,,,,,*battery:8.35:3.5,main:power_on,s,,,,,,,,,,,,,
DC,power on ACTION,SleepFun,TRUE,,,,,,,,,,,,,,,,,,10000,,,,,,,,
DC,MfgMode,InitInfoFun,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,MfgMode,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:enable_CDC,s,,,,,,,,,,,,,
DC,MfgMode,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,MfgMode,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:enter_mfg_mode,s,,,,,,,,,,,,,
DC,MfgMode,JudgeFun,TRUE,,,,,,,,,,,s,,,STRING,ok,ok,,,,,,,,,,
DC,MfgMode,SleepFun,TRUE,,,,,,,,,,,,,,,,,,1000,,,,,,,,
DC,FES output stage,InitInfoFun,TRUE,TRUE,4,,,,,,,,,,,,,,,,,,,,,,,,
DC,FES output stage,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:festest,s,,,,,,,,,,,,,
DC,FES output stage,JudgeFun,TRUE,,,,,,,,,,,s,,,STRING,ok,ok,,,,,,,,,,
DC,FES output stage,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,button initial state,InitInfoFun,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,button initial state,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:get_button_state,s,,,,,,,,,,,,,
DC,button initial state,JudgeFun,TRUE,,,,,,,,,,,s,,,NUMBER,0,0,,,,,,,,,,
DC,button initial state,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,button pressed,InitInfoFun,TRUE,TRUE,5,,,,,,,,,,,,,,,,,,,,,,,,
DC,button pressed,UartComFun,TRUE,FALSE,,,,9600,CtrolBoard,DOWNWARD,,5,OK,,,,,,,,,,,,,,,,
DC,button pressed,SleepFun,TRUE,FALSE,,,,,,,,,,,,,,,,,800,,,,,,,,
DC,button pressed,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:get_button_state,s,,,,,,,,,,,,,
DC,button pressed,JudgeFun,TRUE,,,,,,,,,,,s,,,NUMBER,1,1,,,,,,,,,,
DC,button pressed,UartComFun,TRUE,FALSE,,,,9600,CtrolBoard,UPWARD,,5,OK,,,,,,,,,,,,,,,,
DC,button pressed,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,CLOSE ACTION,InitInfoFun,TRUE,TRUE,1,,,,,,,,,,,,,,,,,,,,,,,,
DC,CLOSE ACTION,UartComFun,TRUE,FALSE,,,,9600,CtrolBoard,CLOSE,,5,READY,,,,,,,,,,,,,,,,
DC,CLOSE ACTION,SleepFun,TRUE,,,,,,,,,,,,,,,,,,800,,,,,,,,
DC,set_rdp,InitInfoFun,TRUE,TRUE,1,,,,,,,,,,,,,,,,,,,,,,,,
DC,set_rdp,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:set_rdp,s,,,,,,,,,,,,,
DC,set_rdp,JudgeFun,TRUE,,,,,,,,,,,s,,,STRING,ok,ok,,,,,,,,,,
DC,set_rdp,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,get_rdp,InitInfoFun,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,get_rdp,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:get_rdp,s,,,,,,,,,,,,,
DC,get_rdp,JudgeFun,TRUE,,,,,,,,,,,s,,,STRING,0x5500,0x5500,,,,,,,,,,
DC,get_rdp,SleepFun,TRUE,,,,,,,,,,,,,,,,,,500,,,,,,,,
DC,Program MAX17205,InitInfoFun,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,Program MAX17205,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:set_MAX17205,s,,,,,,,,,,,,,
DC,Program MAX17205,JudgeFun,TRUE,,,,,,,,,,,s,,,STRING,ok,ok,,,,,,,,,,
DC,Program MAX17205,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,SN Provision,InitInfoFun,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,SN Provision,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:SN_Provision,s,,,,,,,,,,,,,
DC,SN Provision,JudgeFun,TRUE,,,,,,,,,,,s,,,STRING,NA,NA,,,,,,,,,,
DC,SN Provision,SleepFun,TRUE,,,,,,,,,,,,,,,,,,2000,,,,,,,,
DC,VSYS test in Volt,InitInfoFun,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,VSYS test in Volt,CutOutFun,TRUE,,,,,,,,,,,*multimeter:107,main:power_test_by_mult,s,,,,,,,,,,,,,
DC,VSYS test in Volt,JudgeFun,TRUE,,,,,,,,,,,s,,,NUMBER,8.5,7.5,V,,,,,,,,,
DC,VSYS test in Volt,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,3.3V test in Volt,InitInfoFun,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,3.3V test in Volt,CutOutFun,TRUE,,,,,,,,,,,*multimeter:102,main:power_test_by_mult,s,,,,,,,,,,,,,
DC,3.3V test in Volt,JudgeFun,TRUE,,,,,,,,,,,s,,,NUMBER,3.36,3.24,V,,,,,,,,,
DC,3.3V test in Volt,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,HV_FES test in Volt enable,InitInfoFun,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,HV_FES test in Volt enable,CutOutFun,TRUE,,,,,,,,,,,1,main:TEST_HV_FES,s,,,,,,,,,,,,,
DC,HV_FES test in Volt enable,SleepFun,TRUE,,,,,,,,,,,,,,,,,,2000,,,,,,,,
DC,HV_FES test in Volt enable,CutOutFun,TRUE,,,,,,,,,,,*multimeter:101,main:power_test_by_mult,s,,,,,,,,,,,,,
DC,HV_FES test in Volt enable,JudgeFun,TRUE,,,,,,,,,,,s,,,NUMBER,150,120,,,,,,,,,,
DC,HV_FES test in Volt enable,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,HV_FES test in Volt disable,InitInfoFun,TRUE,TRUE,1,,,,,,,,,,,,,,,,,,,,,,,,
DC,HV_FES test in Volt disable,CutOutFun,TRUE,,,,,,,,,,,0,main:TEST_HV_FES,s,,,,,,,,,,,,,
DC,HV_FES test in Volt disable,SleepFun,TRUE,,,,,,,,,,,,,,,,,,10000,,,,,,,,
DC,HV_FES test in Volt disable,CutOutFun,TRUE,,,,,,,,,,,*multimeter:101,main:power_test_by_mult,s,,,,,,,,,,,,,
DC,HV_FES test in Volt disable,JudgeFun,TRUE,,,,,,,,,,,s,,,NUMBER,8.5,7.5,,,,,,,,,,
DC,HV_FES test in Volt disable,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,NEG 6V test in Volt enable,InitInfoFun,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,NEG 6V test in Volt enable,CutOutFun,TRUE,,,,,,,,,,,1,main:TEST_NEG_6V,s,,,,,,,,,,,,,
DC,NEG 6V test in Volt enable,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,NEG 6V test in Volt enable,CutOutFun,TRUE,,,,,,,,,,,*multimeter:103,main:power_test_by_mult,s,,,,,,,,,,,,,
DC,NEG 6V test in Volt enable,JudgeFun,TRUE,,,,,,,,,,,s,,,NUMBER,-5.5,-6.5,,,,,,,,,,
DC,NEG 6V test in Volt enable,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,NEG 6V test in Volt disable,InitInfoFun,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,NEG 6V test in Volt disable,CutOutFun,TRUE,,,,,,,,,,,0,main:TEST_NEG_6V,s,,,,,,,,,,,,,
DC,NEG 6V test in Volt disable,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,NEG 6V test in Volt disable,CutOutFun,TRUE,,,,,,,,,,,*multimeter:103,main:power_test_by_mult,s,,,,,,,,,,,,,
DC,NEG 6V test in Volt disable,JudgeFun,TRUE,,,,,,,,,,,s,,,NUMBER,0.5,0,,,,,,,,,,
DC,NEG 6V test in Volt disable,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,4.2V test in Volt,InitInfoFun,TRUE,TRUE,3,,,,,,,,,,,,,,,,,,,,,,,,
DC,4.2V test in Volt,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:set_iso_3v3_en,s,,,,,,,,,,,,,
DC,4.2V test in Volt,SleepFun,TRUE,,,,,,,,,,,,,,,,,,500,,,,,,,,
DC,4.2V test in Volt,CutOutFun,TRUE,,,,,,,,,,,*multimeter:111,main:power_test_by_mult,s,,,,,,,,,,,,,
DC,4.2V test in Volt,JudgeFun,TRUE,,,,,,,,,,,s,,,NUMBER,4.2,3.8,,,,,,,,,,
DC,4.2V test in Volt,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,3V3_SI test in Volt,InitInfoFun,TRUE,TRUE,2,,,,,,,,,,,,,,,,,,,,,,,,
DC,3V3_SI test in Volt,CutOutFun,TRUE,,,,,,,,,,,*multimeter:104,main:power_test_by_mult,s,,,,,,,,,,,,,
DC,3V3_SI test in Volt,JudgeFun,TRUE,,,,,,,,,,,s,,,NUMBER,3.36,3.24,V,,,,,,,,,
DC,3V3_SI test in Volt,SleepFun,TRUE,,,,,,,,,,,,,,,,,,500,,,,,,,,
DC,3V3_ISO test in Volt,InitInfoFun,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,3V3_ISO test in Volt,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:set_iso_3v3_en,s,,,,,,,,,,,,,
DC,3V3_ISO test in Volt,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,3V3_ISO test in Volt,CutOutFun,TRUE,,,,,,,,,,,*multimeter:112,main:power_test_by_mult,s,,,,,,,,,,,,,
DC,3V3_ISO test in Volt,JudgeFun,TRUE,,,,,,,,,,,s,,,NUMBER,3.36,3.24,V,,,,,,,,,
DC,3V3_ISO test in Volt,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,get_fw_version,InitInfoFun,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,get_fw_version,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:get_fw_version,s,,,,,,,,,,,,,
DC,get_fw_version,JudgeFun,TRUE,,,,,,,,,,,s,,,STRING,v1.15.14,v1.15.14,,,,,,,,,,
DC,get_fw_version,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,RTC timing,InitInfoFun,TRUE,TRUE,5,,,,,,,,,,,,,,,,,,,,,,,,
DC,RTC timing,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:set_mco_32k_en,s,,,,,,,,,,,,,
DC,RTC timing,SleepFun,TRUE,,,,,,,,,,,,,,,,,,5000,,,,,,,,
DC,RTC timing,CutOutFun,TRUE,,,,,,,,,,,*counter,main:meas_frequency,s,,,,,,,,,,,,,
DC,RTC timing,JudgeFun,TRUE,,,,,,,,,,,s,,,NUMBER,32770,32767,,,,,,,,,,
DC,RTC timing,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,FULL MUX TEST,InitInfoFun,TRUE,TRUE,2,,,,,,,,,,,,,,,,,,,,,,,,
DC,FULL MUX TEST,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:full_mux_test,s,,,,,,,,,,,,,
DC,FULL MUX TEST,JudgeFun,TRUE,,,,,,,,,,,s,,,STRING,ok,ok,,,,,,,,,,
DC,FULL MUX TEST,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,power reset,InitInfoFun,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,power reset,CutOutFun,FALSE,,,,,,,,,,,*battery,main:power_off,s,,,,,,,,,,,,,
DC,power reset,SleepFun,FALSE,,,,,,,,,,,,,,,,,,1000,,,,,,,,
DC,power reset,CutOutFun,FALSE,,,,,,,,,,,*battery:7.4:3,main:power_on,s,,,,,,,,,,,,,
DC,power reset,SleepFun,FALSE,,,,,,,,,,,,,,,,,,10000,,,,,,,,
DC,power reset,CutOutFun,FALSE,,,,,,,,,,,*s_SN,main:enable_CDC,s,,,,,,,,,,,,,
DC,power reset,SleepFun,FALSE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,power reset,CutOutFun,FALSE,,,,,,,,,,,*s_SN,main:enter_mfg_mode,s,,,,,,,,,,,,,
DC,power reset,JudgeFun,FALSE,,,,,,,,,,,s,,,STRING,ok,ok,,,,,,,,,,
DC,power reset,SleepFun,FALSE,,,,,,,,,,,,,,,,,,1000,,,,,,,,
DC,get_device_id,InitInfoFun,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,get_device_id,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:get_device_id,s,,,,,,,,,,,,,
DC,get_device_id,JudgeFun,TRUE,,,,,,,,,,,s,,,STRING,NA,NA,,,,,,,,,,
DC,get_device_id,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,ble_fw_version,InitInfoFun,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,ble_fw_version,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:get_ble_fw_version,s,,,,,,,,,,,,,
DC,ble_fw_version,JudgeFun,TRUE,,,,,,,,,,,s,,,STRING,0.8.1.0,0.8.1.0,,,,,,,,,,
DC,ble_fw_version,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,PMIC register readings,InitInfoFun,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,PMIC register readings,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:TEST_PMIC,s,,,,,,,,,,,,,
DC,PMIC register readings,JudgeFun,TRUE,,,,,,,,,,,s,,,STRING,ok,ok,,,,,,,,,,
DC,PMIC register readings,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,MCU clocks,InitInfoFun,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,MCU clocks,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:test_MCU_clock,s,,,,,,,,,,,,,
DC,MCU clocks,JudgeFun,TRUE,,,,,,,,,,,s,,,NUMBER,467,467,,,,,,,,,,
DC,MCU clocks,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,CLK-32MHz Frequency,InitInfoFun,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,CLK-32MHz Frequency,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:set_mco_32m_en,s,,,,,,,,,,,,,
DC,CLK-32MHz Frequency,SleepFun,TRUE,,,,,,,,,,,,,,,,,,1000,,,,,,,,
DC,CLK-32MHz Frequency,CutOutFun,TRUE,,,,,,,,,,,*counter,main:meas_frequency,s,,,,,,,,,,,,,
DC,CLK-32MHz Frequency,JudgeFun,TRUE,,,,,,,,,,,s,,,NUMBER,32001000,31999000,,,,,,,,,,
DC,CLK-32MHz Frequency,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,eMMC chip ID,InitInfoFun,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,eMMC chip ID,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:get_emmc_devid,s,,,,,,,,,,,,,
DC,eMMC chip ID,JudgeFun,TRUE,,,,,,,,,,,s,,,STRING,0xdf,0xdf,,,,,,,,,,
DC,eMMC chip ID,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,eMMC erase/write RX,InitInfoFun,TRUE,TRUE,1,,,,,,,,,,,,,,,,,,,,,,,,
DC,eMMC erase/write RX,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:test_emmc,rx:tx,,,,,,,,,,,,,
DC,eMMC erase/write RX,JudgeFun,TRUE,,,,,,,,,,,rx,,,NUMBER,5500,5000,,,,,,,,,,
DC,eMMC erase/write RX,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,eMMC erase/write TX,InitInfoFun,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,eMMC erase/write TX,JudgeFun,TRUE,,,,,,,,,,,tx,,,NUMBER,5500,4500,,,,,,,,,,
DC,eMMC erase/write TX,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,sensor temperature reading,InitInfoFun,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,sensor temperature reading,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:read_temp,s,,,,,,,,,,,,,
DC,sensor temperature reading,JudgeFun,TRUE,,,,,,,,,,,s,,,NUMBER,40000,20000,,,,,,,,,,
DC,sensor temperature reading,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,FES firmware,InitInfoFun,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,FES firmware,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:fes_version,s,,,,,,,,,,,,,
DC,FES firmware,JudgeFun,TRUE,,,,,,,,,,,s,,,NUMBER,1.15.14,1.15.14,,,,,,,,,,
DC,FES firmware,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,FES DAC_OUT High scale-volt,InitInfoFun,TRUE,TRUE,1,,,,,,,,,,,,,,,,,,,,,,,,
DC,FES DAC_OUT High scale-volt,CutOutFun,TRUE,,,,,,,,,,,3300,main:test_FES_DAC_OUT,s1,,,,,,,,,,,,,
DC,FES DAC_OUT High scale-volt,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,FES DAC_OUT High scale-volt,CutOutFun,TRUE,,,,,,,,,,,*multimeter:105,main:power_test_by_mult,s,,,,,,,,,,,,,
DC,FES DAC_OUT High scale-volt,JudgeFun,TRUE,,,,,,,,,,,s,,,NUMBER,3.4,3.2,,,,,,,,,,
DC,FES DAC_OUT High scale-volt,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,FES DAC_OUT Mid scale-volt,InitInfoFun,TRUE,TRUE,1,,,,,,,,,,,,,,,,,,,,,,,,
DC,FES DAC_OUT Mid scale-volt,CutOutFun,TRUE,,,,,,,,,,,1650,main:test_FES_DAC_OUT,s,,,,,,,,,,,,,
DC,FES DAC_OUT Mid scale-volt,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,FES DAC_OUT Mid scale-volt,CutOutFun,TRUE,,,,,,,,,,,*multimeter:105,main:power_test_by_mult,s,,,,,,,,,,,,,
DC,FES DAC_OUT Mid scale-volt,JudgeFun,TRUE,,,,,,,,,,,s,,,NUMBER,1.8,1.6,,,,,,,,,,
DC,FES DAC_OUT Mid scale-volt,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,FES DAC_OUT Low scale-volt,InitInfoFun,TRUE,TRUE,1,,,,,,,,,,,,,,,,,,,,,,,,
DC,FES DAC_OUT Low scale-volt,CutOutFun,TRUE,,,,,,,,,,,0,main:test_FES_DAC_OUT,s,,,,,,,,,,,,,
DC,FES DAC_OUT Low scale-volt,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,FES DAC_OUT Low scale-volt,CutOutFun,TRUE,,,,,,,,,,,*multimeter:105,main:power_test_by_mult,s,,,,,,,,,,,,,
DC,FES DAC_OUT Low scale-volt,JudgeFun,TRUE,,,,,,,,,,,s,,,NUMBER,0.1,0,,,,,,,,,,
DC,FES DAC_OUT Low scale-volt,SleepFun,TRUE,,,,,,,,,,,,,,,,,,500,,,,,,,,
DC,get_imu_id,InitInfoFun,TRUE,TRUE,1,,,,,,,,,,,,,,,,,,,,,,,,
DC,get_imu_id,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:get_imu_id,IMUID,,,,,,,,,,,,,
DC,get_imu_id,JudgeFun,TRUE,,,,,,,,,,,IMUID,,,NUMBER,10003606,10003606,,,,,,,,,,
DC,get_imu_id,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,imu_test-gforce,InitInfoFun,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,imu_test-gforce,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:get_imu_test,s1:s2:s3:s4:s5:s6,,,,,,,,,,,,,
DC,imu_test-gforce,JudgeFun,TRUE,,,,,,,,,,,s1,,,NUMBER,11000,9000,,,,,,,,,,
DC,imu_test-gforce,SleepFun,TRUE,,,,,,,,,,,,,,,,,,200,,,,,,,,
