Basic,Basic,Basic,Basic,InitInfoFun,InitInfoFun,InitInfoFun,InitInfoFun,UartPortFun,UartComFun,UartComFun,UartComFun,UartComFun,UartComFun,InitInfoFun,CutOutFun,InitInfoFun,JudgeFun,JudgeFun,JudgeFun,JudgeFun,SleepFun,CanFun,CanFun,CanFun,CanFun,CanFun,CanFun,CanFun,CanFun
DC,get_si_device_id_Check,JudgeFun,FALSE,FALSE,,,,,,,,,,s,,,STRING,ok,ok,,,,,,,,,,
DC,get_si_device_id_Check,SleepFun,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,check_station,InitInfoFun,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,check_station,SleepFun,FALSE,FALSE,,,,,,,,,,,,,,,,,1000,,,,,,,,
DC,check_station,CutOutFun,FALSE,FALSE,,,,,,,,,,*s_SN,main:check_station,s,,,,,,,,,,,,,
DC,check_station,JudgeFun,FALSE,FALSE,,,,,,,,,,s,,,STRING,ok,ok,,,,,,,,,,
DC,check_station,SleepFun,FALSE,FALSE,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,communicate with the MUX,InitInfoFun,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,communicate with the MUX,CutOutFun,FALSE,,,,,,,,,,,*s_SN,main:full_mux_test,s,,,,,,,,,,,,,
DC,communicate with the MUX,JudgeFun,FALSE,,,,,,,,,,,s,,,STRING,ok,ok,,,,,,,,,,
DC,communicate with the MUX,SleepFun,FALSE,,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,SI FW check,InitInfoFun,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,SI FW check,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:get_SI_FW,version,,,,,,,,,,,,,
DC,SI FW check,JudgeFun,TRUE,,,,,,,,,,,version,,,STRING,NA,NA,,,,,,,,,,
DC,SI FW check,SleepFun,TRUE,,,,,,,,,,,,,,,,,,500,,,,,,,,
DC,get SI device id,InitInfoFun,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,get SI device id,SleepFun,FALSE,FALSE,,,,,,,,,,,,,,,,,500,,,,,,,,
DC,get SI device id,CutOutFun,FALSE,,,,,,,,,,,*s_SN,main:get_si_device_id,s,,,,,,,,,,,,,
DC,get SI device id,JudgeFun,FALSE,,,,,,,,,,,s,,,STRING,NA,NA,,,,,,,,,,
DC,get SI device id,SleepFun,FALSE,,,,,,,,,,,,,,,,,,500,,,,,,,,
DC,SN_RESET,InitInfoFun,TRUE,FALSE,1,,,,,,,,,,,,,,,,,,,,,,,,
DC,SN_RESET,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:SN_RESET,s,,,,,,,,,,,,,
DC,SN_RESET,JudgeFun,TRUE,,,,,,,,,,,s,,,NUMBER,NA,NA,,,,,,,,,,
DC,SN_RESET,SleepFun,TRUE,,,,,,,,,,,,,,,,,,15000,,,,,,,,
DC,MFG MODE,InitInfoFun,TRUE,FALSE,2,,,,,,,,,,,,,,,,,,,,,,,,
DC,MFG MODE,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:enter_mfg_mode,s,,,,,,,,,,,,,
DC,MFG MODE,JudgeFun,TRUE,,,,,,,,,,,s,,,STRING,ok,ok,,,,,,,,,,
DC,MFG MODE,SleepFun,TRUE,,,,,,,,,,,,,,,,,,500,,,,,,,,
DC,SI FW check,InitInfoFun,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,SI FW check,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:get_SI_FW,version,,,,,,,,,,,,,
DC,SI FW check,JudgeFun,TRUE,,,,,,,,,,,version,,,STRING,v1.14.0,v1.14.0,,,,,,,,,,
DC,SI FW check,SleepFun,TRUE,,,,,,,,,,,,,,,,,,500,,,,,,,,
DC,get SI device id,InitInfoFun,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,get SI device id,CutOutFun,FALSE,,,,,,,,,,,*s_SN,main:get_si_device_id,s,,,,,,,,,,,,,
DC,get SI device id,JudgeFun,FALSE,,,,,,,,,,,s,,,STRING,FFFFFFFF-FFFFFFFF,FFFFFFFF-FFFFFFFF,,,,,,,,,,
DC,get SI device id,SleepFun,FALSE,,,,,,,,,,,,,,,,,,1000,,,,,,,,
DC,SN_Program,InitInfoFun,TRUE,FALSE,1,,,,,,,,,,,,,,,,,,,,,,,,
DC,SN_Program,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:SN_Program,s,,,,,,,,,,,,,
DC,SN_Program,JudgeFun,TRUE,,,,,,,,,,,s,,,NUMBER,NA,NA,,,,,,,,,,
DC,SN_Program,SleepFun,TRUE,,,,,,,,,,,,,,,,,,15000,,,,,,,,
DC,MFG MODE,InitInfoFun,TRUE,FALSE,2,,,,,,,,,,,,,,,,,,,,,,,,
DC,MFG MODE,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:enter_mfg_mode,s,,,,,,,,,,,,,
DC,MFG MODE,JudgeFun,TRUE,,,,,,,,,,,s,,,STRING,ok,ok,,,,,,,,,,
DC,MFG MODE,SleepFun,TRUE,,,,,,,,,,,,,,,,,,500,,,,,,,,
DC,SI FW check,InitInfoFun,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,SI FW check,SleepFun,TRUE,FALSE,,,,,,,,,,,,,,,,,200,,,,,,,,
DC,SI FW check,CutOutFun,TRUE,,,,,,,,,,,*s_SN,main:get_SI_FW,version,,,,,,,,,,,,,
DC,SI FW check,JudgeFun,TRUE,,,,,,,,,,,version,,,STRING,v1.14.0,v1.14.0,,,,,,,,,,
DC,SI FW check,SleepFun,TRUE,,,,,,,,,,,,,,,,,,500,,,,,,,,
DC,SI device id-check,InitInfoFun,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,SI device id-check,CutOutFun,FALSE,,,,,,,,,,,*s_SN,main:get_si_device_id_Check,s:device,,,,,,,,,,,,,
DC,SI device id-check,JudgeFun,FALSE,,,,,,,,,,,s,,,STRING,ok,ok,,,,,,,,,,
DC,SI device id-check,SleepFun,FALSE,,,,,,,,,,,,,,,,,,500,,,,,,,,
DC,SI device id-si id,InitInfoFun,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
DC,SI device id-si id,JudgeFun,TRUE,,,,,,,,,,,device,,,NUMBER,NA,NA,,,,,,,,,,
DC,SI device id-si id,SleepFun,TRUE,,,,,,,,,,,,,,,,,,500,,,,,,,,
TestEnd,TestEnd,InitInfoFun,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
TestEnd,TestEnd,SleepFun,TRUE,FALSE,,,,,,,,,,,,,,,,,200,,,,,,,,
TestEnd,TestEnd,PassToUart,TRUE,FALSE,,,,9600,CtrolBoard,Passd,,0,,,,,,,,,,,,,,,,,
TestEnd,TestEnd,FailToUart,TRUE,FALSE,,,,9600,CtrolBoard,Faild,,0,,,,,,,,,,,,,,,,,
